Date;Kilde;Forfatter;NNPF_assosiert
søndag 7. januar 2018; https://www.aftenposten.no/norge/i/xR31BQ/voldsdoemt-maa-gaa-med-elektronisk-fotlenke-nesten-hele-oestfold-blir-forbudt-omraade ; author: Håkon Letvik ; NNPF: Hans Christian Dragvoll
mandag 4. desember 2017; https://www.aftenposten.no/norge/i/p6LWGV/ung-mann-siktet-for-aa-ha-knivstukket-kvinne-paa-bussholdeplass ; author: og NTB ; NNPF: Jane Lundstadsveen
lørdag 2. desember 2017; https://www.aftenposten.no/norge/i/5VJ1ge/trusselvurdering-av-ikt-kriminalitet-politiet-gjoer-noe-men-ikke-nok ; author: Harald Stolt-NielsenJournalist ; NNPF: Thomas Stærk
lørdag 2. desember 2017; https://www.aftenposten.no/norge/i/5VJ1ge/trusselvurdering-av-ikt-kriminalitet-politiet-gjoer-noe-men-ikke-nok ; author: Harald Stolt-NielsenJournalist ; NNPF: Øyvind Buraas
fredag 17. november 2017; https://www.aftenposten.no/norge/i/8r2rW/dette-er-de-nye-narkolangerne-paa-det-moerke-nettet ; author: Trond J. StrømJournalist / researcher ; NNPF: Richard Beck Pedersen
onsdag 15. november 2017; https://www.aftenposten.no/norge/i/wyqqA/barn-sendes-til-utlandet-for-aa-komme-paa-rett-kjoel-men-for-flere-unge-blir-alt-bare-verre-av-det ; author: Thomas OlsenJournalist ; NNPF: Jan Erik Bresil
fredag 10. november 2017; https://www.aftenposten.no/norge/i/l8P5k/politileder-oensker-obligatoriske-foreldremoeter ; author: og NTB ; NNPF: Torbjørn Trommestad
lørdag 16. september 2017; https://www.aftenposten.no/norge/i/za2a5/fem-paagrepet-i-oslo-for-besittelse-av-vaapen-og-narkotika ; author: NTB ; NNPF: Nina Bakken
torsdag 20. juli 2017; https://www.aftenposten.no/norge/i/GVXwV/det-tar-over-to-timer-aa-sette-noen-i-sentralarresten-i-oslo-lokalt-i-baerum-staar-24-celler-tomme-og-ubrukte ; author: Harald Stolt-NielsenJournalist ; NNPF: Stein Olav Bredli
onsdag 14. juni 2017; https://www.aftenposten.no/norge/i/99maq/krever-tre-aar-og-ni-maaneder-for-narkotikasalg-paa-det-moerke-nettet ; author: Trond J. StrømJournalist / researcher ; NNPF: Richard Beck Pedersen
lørdag 3. juni 2017; https://www.aftenposten.no/norge/i/orXeR/mann-i-60-aarene-funnet-doed-i-sjoeen-ved-stavern ; author: NTB ; NNPF: Tom Richard Skuggedal
torsdag 1. juni 2017; https://www.aftenposten.no/norge/i/84gpA/skal-ha-tjent-nesten-tre-millioner-paa-dop ; author: Jonas Alsaker Vikan ; NNPF: Richard Beck Pedersen
onsdag 19. april 2017; https://www.aftenposten.no/norge/i/5XEm6/15-aaring-funnet-doed-paa-gutterommet-i-oslo-hadde-tatt-syntetisk-dop ; author: NTB ; NNPF: Stein Olav Bredli
onsdag 19. april 2017; https://www.aftenposten.no/norge/i/JmOom/nrk-rumensk-tiggernettverk-haaver-inn-millioner-i-bergen ; author: Christian Nicolaisen ; NNPF: Linda Ervik
fredag 7. april 2017; https://www.aftenposten.no/norge/i/4a5Gq/stor-vaapensamling-fra-krigen-funnet-i-laavevegg-i-nordhordland ; author: Marianne Nilsen ; NNPF: Kurt Inge Hordvik
torsdag 6. april 2017; https://www.aftenposten.no/norge/i/yoQxg/mann-siktet-for-overgrep-mot-flere-barn ; author: Per Lindberg ; NNPF: Kristine Knutsen-Berge
tirsdag 7. mars 2017; https://www.aftenposten.no/norge/i/Bawq0/hasjtrailere-med-ikea-last ; author: Per Annar Holm ; NNPF: Dag Eirik Ekeli
tirsdag 7. mars 2017; https://www.aftenposten.no/norge/i/Bawq0/hasjtrailere-med-ikea-last ; author: Per Annar Holm ; NNPF: Ketil Thue
tirsdag 7. mars 2017; https://www.aftenposten.no/norge/i/Bawq0/hasjtrailere-med-ikea-last ; author: Per Annar Holm ; NNPF: Peter Mehnert
torsdag 2. mars 2017; https://www.aftenposten.no/norge/i/QvPM8/kriminalsjefen-om-eirik-jensen-daeven-han-er-skyldig ; author: Håkon Letvik ; NNPF: Ketil Thue
tirsdag 28. februar 2017; https://www.aftenposten.no/norge/i/Jdn87/hasjregnskapet-felte-cappelens-nettverk ; author: Håkon Letvik ; NNPF: Dag Eirik Ekeli
onsdag 15. februar 2017; https://www.aftenposten.no/norge/i/raLBK/samboerpar-siktet-for-drap-paa-familiemedlem-i-aamli ; author: Eirin Margrethe Fidje ; NNPF: Vanja Bruvoll
torsdag 9. februar 2017; https://www.aftenposten.no/norge/i/wB76A/politiet-e6-vil-vaere-stengt-i-timesvis-etter-hengervelt ; author: Erlend Tro Klette ; NNPF: Jon Andorsen
torsdag 9. februar 2017; https://www.aftenposten.no/norge/i/wB7AM/14-personer-siktet-etter-rekordbeslag-av-narkotika ; author: Eivind Kristensen ; NNPF: John Repstad
mandag 6. februar 2017; https://www.aftenposten.no/norge/i/jyR9z/ektemann-siktet-for-drapsforsoek-skal-ha-gaatt-loes-paa-kona-med-brekkjern ; author: Kjetil Nygaard ; NNPF: Vigleik Fidje
torsdag 12. januar 2017; https://www.aftenposten.no/norge/i/g9WMq/fbi-hacket-seg-inn-paa-norske-datamaskiner ; author: Jonas Vikan ; NNPF: Per Morten Brobakke
torsdag 12. januar 2017; https://www.aftenposten.no/norge/i/g9WMq/fbi-hacket-seg-inn-paa-norske-datamaskiner ; author: Jonas Vikan ; NNPF: Reinert Møster Ottesen
onsdag 11. januar 2017; https://www.aftenposten.no/norge/i/x030X/her-er-millionsummen-politiet-fant-paa-hotellrommet-i-trondheim ; author: Pål Solberg ; NNPF: Dag Eirik Ekeli
onsdag 11. januar 2017; https://www.aftenposten.no/norge/i/x030X/her-er-millionsummen-politiet-fant-paa-hotellrommet-i-trondheim ; author: Pål Solberg ; NNPF: John Torger Konstad
mandag 9. januar 2017; https://www.aftenposten.no/norge/i/Q4lgV/hotellgjest-ble-syk-paa-rommet-laa-det-politiet-mener-er-15-millioner-narkokroner ; author: Pål Solberg ; NNPF: Dag Eirik Ekeli
mandag 9. januar 2017; https://www.aftenposten.no/norge/i/Q4lgV/hotellgjest-ble-syk-paa-rommet-laa-det-politiet-mener-er-15-millioner-narkokroner ; author: Pål Solberg ; NNPF: John Torger Konstad
onsdag 21. desember 2016; https://www.aftenposten.no/norge/i/z2Kaq/ups-nye-supervaapen-mot-rusede-sjaafoerer-slaar-alle-rekorder ; author: Per Lindberg ; NNPF: Terje Oksnes
torsdag 24. november 2016; https://www.aftenposten.no/norge/i/xkBEj/kripos-topp-vi-skjaerer-kun-ned-en-gren-vi-er-ikke-i-naerheten-av-aa-kutte-et-tre-dessverre ; author: Andreas Bakke FossJournalist ; NNPF: Eivind Borge
onsdag 16. november 2016; https://www.aftenposten.no/norge/i/OdpyA/mor-og-soenn-nekter-straffskyld-etter-baaldrapet-i-soendre-land ; author: Per Annar Holm ; NNPF: Johan Petter Bærland
mandag 14. november 2016; https://www.aftenposten.no/norge/i/qgrxO/slakter-nye-politi-uniformer-minner-om-ddr-eller-renholdsarbeidere ; author: Thomas OlsenJournalist ; NNPF: Audun Buseth
fredag 30. september 2016; https://www.aftenposten.no/norge/i/6ggGz/politiet-tromsdal-truet-barn-av-vitner ; author: NTB ; NNPF: Lisbeth Ravlo Backe
fredag 12. august 2016; https://www.aftenposten.no/norge/i/lJA49/kreftsyk-foelte-seg-som-kasteball-i-en-maaned ; author: Tine DommerudJournalist ; NNPF: Merete Haugen
mandag 1. august 2016; https://www.aftenposten.no/norge/i/qkzlg/mann-knivstukket-i-asylmottak-i-hoeyanger ; author: NTB ; NNPF: Malin Skeibrok Ånensen
fredag 8. juli 2016; https://www.aftenposten.no/norge/i/rMVQK/terrordoemt-26-siktet-for-grovt-bedrageri ; author: Olga StokkeJournalist ; NNPF: Anne Cathrine Ingulstad Aga
onsdag 8. juni 2016; https://www.aftenposten.no/norge/i/AlyaE/aktor-cappelens-soenn-maa-doemmes-til-4-aar-og-seks-maaneders-fengsel ; author: Håkon Letvik ; NNPF: Dag Eirik Ekeli
onsdag 8. juni 2016; https://www.aftenposten.no/norge/i/AlyaE/aktor-cappelens-soenn-maa-doemmes-til-4-aar-og-seks-maaneders-fengsel ; author: Håkon Letvik ; NNPF: Janne Danielsen
tirsdag 7. juni 2016; https://www.aftenposten.no/norge/i/QmrzV/cappelens-soenn-innroemmer-heleri-av-34-millioner ; author: Håkon Letvik ; NNPF: Janne Danielsen
mandag 25. april 2016; https://www.aftenposten.no/norge/i/BJ0a0/snoeen-skaper-kaotiske-tilstander-i-soer-norge-og-oesterdalen ; author: Lorns Bjerkan ; NNPF: Kjell Iveland
søndag 3. april 2016; https://www.aftenposten.no/norge/i/l1Aa3/politiet-her-ble-amfetamin-solgt-hver-soendag-klokken-13 ; author: Lene Li Dragland Per Annar Holm ; NNPF: Eivind Borge
søndag 3. april 2016; https://www.aftenposten.no/norge/i/l1Aa3/politiet-her-ble-amfetamin-solgt-hver-soendag-klokken-13 ; author: Lene Li Dragland Per Annar Holm ; NNPF: Henning Fosaas
torsdag 7. januar 2016; https://www.aftenposten.no/norge/i/RjxJ/politiet-etterforsker-om-avvergeplikten-er-brutt-etter-doedsfallet-i-valdres ; author: Steffen Pedersen Øberg ; NNPF: Linn Hilde Fosso
søndag 13. desember 2015; https://www.aftenposten.no/norge/i/lvKA/22-juli-program-i-politiet-nedlagt ; author: Ntb ; NNPF: Audun Buseth
tirsdag 27. oktober 2015; https://www.aftenposten.no/norge/i/34Oe/seks-raad-til-foreldre-foer-ungdommene-skal-paa-fest ; author: Vibeke Buan ; NNPF: Trine Svartås
fredag 23. oktober 2015; https://www.aftenposten.no/norge/i/KanX/silobrann-tar-trolig-flere-dager-aa-slukke ; author: Per Kristian Aale ; NNPF: Raymond Bergli
fredag 23. oktober 2015; https://www.aftenposten.no/norge/i/KanX/silobrann-tar-trolig-flere-dager-aa-slukke ; author: Per Kristian Aale ; NNPF: Tom Sandberg
mandag 17. august 2015; https://www.aftenposten.no/norge/i/vGWj/air-baltic-styrmann-doemt-til-seks-maaneders-fengsel-for-promille ; author: Håkon Letvik ; NNPF: Camilla Ek Sørensen
fredag 10. juli 2015; https://www.aftenposten.no/norge/i/8LL1/lukkede-doerer-i-kristin-saken-frykter-paavirkning-av-vitner ; author: Andreas SlettholmKommentator ; NNPF: Kjell Johan Abrahamsen
fredag 10. juli 2015; https://www.aftenposten.no/norge/i/8LL1/lukkede-doerer-i-kristin-saken-frykter-paavirkning-av-vitner ; author: Andreas SlettholmKommentator ; NNPF: Torje Arneson
tirsdag 7. juli 2015; https://www.aftenposten.no/norge/i/81EA/haandgranat-funnet-i-seilbaat-i-droebak ; author: Andreas SlettholmKommentator ; NNPF: Gisle Lindheim Sveen
torsdag 2. juli 2015; https://www.aftenposten.no/norge/i/zzVb/hundrevis-av-kriminelle-forhold-hvor-barn-under-10-aar-er-involvert ; author: Steffen Pedersen Øberg ; NNPF: Jane Bechmann Dahl
mandag 22. juni 2015; https://www.aftenposten.no/norge/i/kPRv/fem-innroemmelser-fra-den-terrortiltalte-i-retten ; author: Nina Selbo TorsetJournalist ; NNPF: Geir Evanger
tirsdag 9. juni 2015; https://www.aftenposten.no/norge/i/eBkg/narkotikanettverk-avdekket-paa-internett ; author: Ntb ; NNPF: Richard Beck Pedersen
fredag 27. mars 2015; https://www.aftenposten.no/norge/i/O9g1/forsvaret-ikke-vaart-ansvarpst-ikke-vurdert-saken ; author: Sveinung Berg BentzrødJournalist ; NNPF: Tom Inge Tilley Jensen
fredag 2. januar 2015; https://www.aftenposten.no/norge/i/xr4bj/jeg-kan-ikke-tulle-med-ting-jeg-maa-vaere-bevisst-paa-rollen-jeg-har ; author: Øyvind Nordli ; NNPF: Geir Lunde
søndag 14. desember 2014; https://www.aftenposten.no/norge/i/RxQAx/ungdommer-siktet-for-voldtekt-av-16-aaring-paa-lillehammer ; author: Ntb ; NNPF: Jane Lundstadsveen
tirsdag 16. september 2014; https://www.aftenposten.no/norge/i/OnBeO/gustav-45-gjorde-bonusfunn-under-nm-for-narkotikahunder ; author: Arild Færaas ; NNPF: Bjørn Egil Drangevåg
onsdag 13. august 2014; https://www.aftenposten.no/norge/i/8zGw/narkosiktet-koblet-til-kriminelle-nettverk-i-malerbransjen ; author:  ; NNPF: Richard Beck Pedersen
søndag 10. august 2014; https://www.aftenposten.no/norge/i/zL12v/dopingbeslagene-oeker-kraftig-etter-kriminalisering ; author: Andreas Bakke FossJournalist ; NNPF: Kari Frey Solvik
søndag 8. juni 2014; https://www.aftenposten.no/norge/i/Bxlg7/sjekte-sank-22-personer-havnet-i-vannet-i-arendal ; author: Hans O. TorgersenJournalist ; NNPF: Arnt Roger Lyngmyr
onsdag 19. mars 2014; https://www.aftenposten.no/norge/i/7p5K9/kvinne-funnet-doed-mann-kritisk-skadet ; author: Karen TjernshaugenNyhetssjef ; NNPF: Monica Hanø
onsdag 19. mars 2014; https://www.aftenposten.no/norge/i/7p5K9/kvinne-funnet-doed-mann-kritisk-skadet ; author: Karen TjernshaugenNyhetssjef ; NNPF: Morten Ole Pedersen
torsdag 2. januar 2014; https://www.aftenposten.no/norge/i/jPGx0/skjulte-narko-i-juletrafikken ; author: Lene Li Dragland ; NNPF: Line Steen Presthus
torsdag 28. november 2013; https://www.aftenposten.no/meninger/debatt/i/80RW/hold-hasjen-fanget ; author: Jan Erik Bresil ; NNPF: Jan Erik Bresil
tirsdag 22. oktober 2013; https://www.aftenposten.no/norge/i/5Vx71/moette-mannen-som-drepte-faren-under-nokas-ranet ; author: Stavanger Aftenblad ; NNPF: Kjetil Klungland
mandag 7. oktober 2013; https://www.aftenposten.no/norge/i/16nJM/mer-organisert-kriminalitet-men-langt-faerre-blir-tatt ; author: Per Anders JohansenAftenpostens Moskva-korrespondent ; NNPF: Vegar Munthe Ommedal
lørdag 14. september 2013; https://www.aftenposten.no/norge/i/XwLzE/grenseloese-gjengangere ; author: Per Anders JohansenAftenpostens Moskva-korrespondent ; NNPF: Harald Bøhler
fredag 13. september 2013; https://www.aftenposten.no/norge/i/kaqP6/fire-menn-doemt-til-fengsel-etter-brutalt-ran ; author: Erlend Langeland Haugen ; NNPF: Magne Knudsen
tirsdag 20. august 2013; https://www.aftenposten.no/norge/i/l1729/situasjonen-i-huset-ble-bare-verre-og-verre-og-folk-var-livredde-for-ham ; author: Marianne Nilsen ; NNPF: John Lode Roscoe
fredag 14. juni 2013; https://www.aftenposten.no/norge/i/QomXW/politiet-gaar-ut-med-nytt-bilde-av-drapssiktet-og-datteren ; author: Andreas Bakke FossJournalist ; NNPF: Linn Hilde Fosso
torsdag 6. juni 2013; https://www.aftenposten.no/norge/i/awP57/narkohandel-paa-sosiale-medier ; author: Hanne Louise Åkernes ; NNPF: Geir Nerland
torsdag 6. juni 2013; https://www.aftenposten.no/norge/i/awP57/narkohandel-paa-sosiale-medier ; author: Hanne Louise Åkernes ; NNPF: Tone Loftesnes Kornli
tirsdag 23. april 2013; https://www.aftenposten.no/norge/i/XwvRm/stortingsvedtak-ble-satt-til-side-under-narkoaksjon-paa-drammen-vgs ; author: Jørgen Svarstad ; NNPF: Guri Øen
tirsdag 26. mars 2013; https://www.aftenposten.no/norge/i/4z56/kripos-fortviler-over-at-faerre-frivillige-vil-gi-dem-dna-profilen-sin ; author: Arild Færaas ; NNPF: Anne Slåtten
onsdag 6. mars 2013; https://www.aftenposten.no/norge/i/vQrB5/enormt-narkodepot-funnet-naer-togstasjon ; author: Kjell Arne Knutsen ; NNPF: Bjørn Vidar Bollestad
onsdag 6. mars 2013; https://www.aftenposten.no/norge/i/vQrB5/enormt-narkodepot-funnet-naer-togstasjon ; author: Kjell Arne Knutsen ; NNPF: Håvar Undeland
fredag 22. februar 2013; https://www.aftenposten.no/norge/i/BJB0G/nye-politistillinger-kan-foere-til-oppsigelser ; author: Nina Selbo TorsetJournalist ; NNPF: Marius Bækkevar
lørdag 22. desember 2012; https://www.aftenposten.no/norge/i/1kBMW/utenlandske-bander-skjules-av-landsmenn-som-bor-i-lokalmiljoeet ; author: Per Annar Holm ; NNPF: Kjell Johan Abrahamsen
torsdag 19. juli 2012; https://www.aftenposten.no/norge/i/K31b7/kriminelt-miljoe-klipper-av-fingre-og-oerer-som-straff ; author: Per Annar Holm ; NNPF: Kjell Johan Abrahamsen
onsdag 16. mai 2012; https://www.aftenposten.no/norge/i/LAQ2P/22-juli-heltene-hedres-17-mai ; author: Øyvind Bosnes Engen ; NNPF: Kenneth Andre Tunaal
torsdag 29. september 2011; https://www.aftenposten.no/norge/i/3J0ye/kvinne-23-ogsaa-siktet-for-drapet-i-droebak ; author: Per Annar Holm ; NNPF: Hilde Bøch Høyer
tirsdag 12. juli 2011; https://www.aftenposten.no/norge/i/g7b1a/to-unge-menn-doede-etter-baatkollisjon ; author: Per Annar Holm ; NNPF: Line Andresen Olstad
mandag 15. november 2010; https://www.aftenposten.no/norge/i/vQ4kj/unge-romkvinner-er-den-nye-gruppen-gateprostituerte-i-oslo ; author: Elisabeth Rodum ; NNPF: Harald Bøhler
mandag 21. juni 2010; https://www.aftenposten.no/norge/i/zgeO4/naboer-evakuert-etter-brann ; author: Fred C. Gjestad ; NNPF: Henrik Kristmoen
lørdag 22. mai 2010; https://www.aftenposten.no/norge/i/41lAa/40-tatt-i-tidenes-kokainaksjon ; author: Trond Nygard-sture ; NNPF: Tom Throndsen
tirsdag 4. mai 2010; https://www.aftenposten.no/norge/i/86LLA/blinde-hjelper-kreftsyke ; author: Arne Hole ; NNPF: Håkon Gisholt
fredag 9. april 2010; https://www.aftenposten.no/norge/i/dlQeq/det-er-lov-aa-oevelseskjoere ; author: Fvn ; NNPF: Kenneth Fidjeland
mandag 29. mars 2010; https://www.aftenposten.no/norge/i/oAVkg/omsetter-doping-for-flere-hundre-millioner ; author: Andreas Bakke FossJournalist ; NNPF: Askel Rødland
mandag 29. mars 2010; https://www.aftenposten.no/norge/i/eKB6Q/doping-finansierer-narko ; author: Andreas Bakke FossJournalist ; NNPF: Askel Rødland
lørdag 12. desember 2009; https://www.aftenposten.no/norge/i/0KX5E/verstingenes-verste-fiender ; author: Per Annar Holm ; NNPF: Heidi Scisly
onsdag 28. oktober 2009; https://www.aftenposten.no/norge/i/X8V6o/gutt-14-skadet-i-arbeidsulykke ; author: Jon Tufto ; NNPF: Bjørn Harald Aarre-Nilsen
fredag 23. oktober 2009; https://www.aftenposten.no/norge/i/R9gWA/boender-og-samer-krangler-om-reinen ; author: Dag W. Grundseth (foto) ; NNPF: Inger Anita Øvregård
fredag 29. mai 2009; https://www.aftenposten.no/norge/i/yRAX2/etterforsker-fem-taxivoldtekter ; author: Jone Jone Østebø ; NNPF: Kari Marie Kjellstad
søndag 19. april 2009; https://www.aftenposten.no/norge/i/k3aG9/kvinne-alvorlig-skadet-etter-utforkjoering-paa-e6 ; author: Adressa.no ; NNPF: Lisbet Schjelderup
fredag 6. februar 2009; https://www.aftenposten.no/norge/i/O336V/foerste-skole-ut-av-rekken ; author: Forf>suldal ; NNPF: Caroline Josdal
tirsdag 15. juli 2008; https://www.aftenposten.no/norge/i/rWeEe/avfallstank-eksploderte-paa-sotra ; author: Bergens Tidende ; NNPF: Finn Martin Systad
torsdag 10. juli 2008; https://www.aftenposten.no/norge/i/9Ex1q/innhentes-av-fortiden ; author: Forf> ; NNPF: Eldrid Williksen
onsdag 25. juli 2007; https://www.aftenposten.no/norge/i/v5ORl/glad-de-er-hjemme-igjen ; author: Knut H. Leknes ; NNPF: Stine Camilla Johnsen
torsdag 19. april 2007; https://www.aftenposten.no/norge/i/rEnw0/kriminelle-familier-br-styrer-herointrafikken ; author: Kjetil Sæter ; NNPF: Jan Erik Braserud
tirsdag 27. februar 2007; https://www.aftenposten.no/norge/i/7djOv/tenaaringsjente-ble-skambitt-av-rottweiler ; author: Kjetil Kjetil Olsen ; NNPF: Jahn Ove Thorsen
tirsdag 24. oktober 2006; https://www.aftenposten.no/norge/i/ML23o/haaland-jeg-var-aldri-i-tvil-om-aa-skyte ; author: Jone Jone Østebø ; NNPF: Erik Håland
torsdag 24. august 2006; https://www.aftenposten.no/norge/i/Ordx1/tenaaringsjenter-med-daglig-dose-amfetamin ; author: Kristin Solberg ; NNPF: Geir Nerland
torsdag 24. august 2006; https://www.aftenposten.no/norge/i/Ordx1/tenaaringsjenter-med-daglig-dose-amfetamin ; author: Kristin Solberg ; NNPF: Geir Tveit
lørdag 5. august 2006; https://www.aftenposten.no/norge/i/47wpR/det-er-fra-politiet-det-gjelder-ditt-barn ; author: Forf> ; NNPF: Magnus Fuglevik
tirsdag 20. juni 2006; https://www.aftenposten.no/norge/i/dn3dJ/bander-raider-oslo ; author: Forf>jan Tomas Espedal (foto) ; NNPF: Rune Andersen
fredag 16. juni 2006; https://www.aftenposten.no/norge/i/Jx0nJ/ga-narkotika-til-skoleelev ; author: Anders Nordstoga ; NNPF: Lina Gjellerud
mandag 29. mai 2006; https://www.aftenposten.no/norge/i/34yKA/skal-miste-frikort-til-forbrytelser ; author: Forf> ; NNPF: Knut Jostein Sætnan
torsdag 18. mai 2006; https://www.aftenposten.no/norge/i/66LlO/takk-skal-dere-ha ; author: Forf>ingar Storfjell (foto) ; NNPF: Jon Eirik Prytz
mandag 24. oktober 2005; https://www.aftenposten.no/norge/i/qRQk0/profesjonsstrid-om-usynlig-sykdom ; author: Forf>signe Dons (foto) ; NNPF: Anette Gilje
tirsdag 16. august 2005; https://www.aftenposten.no/norge/i/jlwpb/mener-advokat-drev-dobbeltspill ; author: Arild M. Jonassen ; NNPF: Thomas Øye
fredag 22. juli 2005; https://www.aftenposten.no/norge/i/15xGq/toskas-forsvarer-rasende ; author: Kjetil Kjetil Olsen ; NNPF: Thomas Øye
torsdag 31. mars 2005; https://www.aftenposten.no/norge/i/mQdj1/sladrer-paa-tyvfiskere ; author: Forf> ; NNPF: Kenneth Hjorth Rafaelsen
lørdag 12. februar 2005; https://www.aftenposten.no/norge/i/kEPya/13-aar-for-foerde-drapet ; author: Einar Welle ; NNPF: Anne Slåtten
fredag 4. februar 2005; https://www.aftenposten.no/norge/i/EQMrA/13-aars-fengsel-for-foerde-drapet ; author: Morten Andersen ; NNPF: Anne Slåtten
tirsdag 1. februar 2005; https://www.aftenposten.no/norge/i/ve7JX/gikk-paa-pub-i-dameklaer ; author: Morten Andersen ; NNPF: Anne Slåtten
tirsdag 15. juni 2004; https://www.aftenposten.no/norge/i/alWEM/drapsmann-kan-bli-avsloert-i-dag ; author: Forf> ; NNPF: Anne Slåtten
tirsdag 8. juni 2004; https://www.aftenposten.no/norge/i/nQ8en/anne-slaatten-23-ble-drept ; author: Erik TornesDebattredaktør ; NNPF: Anne Slåtten
onsdag 10. desember 2003; https://www.aftenposten.no/norge/i/kwy5k/kaster-klaerne-for-bsk ; author: Forf> ; NNPF: Tone Haugseth
